R_Height,R_Weight,R_Reach,R_Stance,R_age,R_SLpM,R_Str_Acc,R_SApM,R_Str_Def,R_TD_Avg,R_TD_Acc,R_TD_Def,R_Sub_Avg,B_Height,B_Weight,B_Reach,B_Stance,B_age,B_SLpM,B_Str_Acc,B_SApM,B_Str_Def,B_TD_Avg,B_TD_Acc,B_TD_Def,B_Sub_Avg,R_hist_sig_str_avg,R_hist_td_avg,R_hist_ctrl_avg,R_hist_sig_str_pct_avg,R_hist_td_pct_avg,R_hist_won_avg,R_hist_fights_before,B_hist_sig_str_avg,B_hist_td_avg,B_hist_ctrl_avg,B_hist_sig_str_pct_avg,B_hist_td_pct_avg,B_hist_won_avg,B_hist_fights_before,date,target
67.0,135.0,69.0,Orthodox,35.945242984257355,3.4,0.29,3.66,0.69,0.34,0.33,0.86,0.1,71.0,135.0,72.0,Switch,25.61806981519507,6.35,0.57,3.76,0.64,1.05,0.5,0.61,1.1,38.69230769230769,0.15384615384615385,,27.0,16.625,0.46153846153846156,13,74.0,1.0,,64.0,50.0,1.0,3,2020-06-06,0
70.0,145.0,73.0,Southpaw,31.96167008898015,4.1,0.5,2.82,0.65,0.57,0.78,0.64,0.8,73.0,145.0,74.0,Southpaw,20.73100616016427,4.43,0.45,3.95,0.38,0.32,0.07,0.66,2.2,48.476190476190474,0.42857142857142855,,45.61904761904762,72.16666666666667,0.47619047619047616,21,20.0,1.0,,55.0,33.0,1.0,1,2020-06-06,1
65.0,135.0,66.0,Orthodox,37.883641341546884,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3,68.0,135.0,65.0,Orthodox,28.917180013689254,3.35,0.37,3.33,0.65,0.84,0.33,1.0,0.0,44.0,1.1333333333333333,,40.93333333333333,39.6,0.7333333333333333,15,31.22222222222222,0.5555555555555556,,36.666666666666664,27.0,0.6666666666666666,9,2020-06-06,0
68.0,145.0,69.0,Orthodox,32.01916495550992,4.5,0.51,2.45,0.57,2.5,0.53,0.84,0.9,66.0,145.0,68.0,Orthodox,29.519507186858316,3.02,0.45,5.57,0.43,0.64,0.1,0.14,0.3,39.46153846153846,1.4615384615384615,,55.15384615384615,44.25,0.9230769230769231,13,33.333333333333336,0.6666666666666666,,58.666666666666664,33.333333333333336,0.6666666666666666,3,2020-06-06,1
67.0,135.0,71.0,Orthodox,30.850102669404517,4.84,0.49,2.2,0.63,1.77,0.24,0.41,0.9,71.0,135.0,70.0,Switch,28.128678986995208,6.85,0.48,3.89,0.59,1.07,0.5,0.3,0.5,61.61538461538461,1.6153846153846154,,49.0,41.75,0.7692307692307693,13,69.0,0.8,,47.8,50.0,1.0,5,2020-06-06,1
75.0,170.0,80.0,Orthodox,32.84325804243669,3.67,0.47,2.05,0.56,2.46,0.45,0.57,0.3,72.0,170.0,73.0,Orthodox,30.48596851471595,2.68,0.37,2.59,0.58,0.71,0.27,0.68,1.0,46.714285714285715,2.142857142857143,,43.19047619047619,49.333333333333336,0.7142857142857143,21,33.857142857142854,0.5714285714285714,,35.785714285714285,35.42857142857143,0.6428571428571429,14,2020-06-06,1
71.0,185.0,72.0,Orthodox,31.835728952772072,3.28,0.5,2.79,0.58,1.13,0.18,0.6,0.8,73.0,185.0,77.0,Southpaw,32.46817248459959,3.3,0.42,3.61,0.51,2.33,0.43,0.46,1.7,51.25,1.25,,51.5,36.0,0.5,4,29.4,1.4,,47.0,37.375,0.6,10,2020-06-06,1
70.0,185.0,73.0,Orthodox,36.65434633812457,3.43,0.55,2.63,0.55,2.5,0.5,0.4,1.5,70.0,185.0,75.0,Orthodox,29.533196440793976,4.2,0.44,3.71,0.56,2.42,0.52,0.55,0.5,16.666666666666668,0.3333333333333333,,51.333333333333336,33.333333333333336,0.3333333333333333,3,60.0,0.0,,38.0,0.0,0.0,1,2020-06-06,0
70.0,155.0,70.0,Southpaw,38.46680355920602,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0,69.0,145.0,73.0,Orthodox,32.342231348391515,1.67,0.45,5.02,0.33,4.64,0.83,0.75,2.8,61.25,1.4,,38.25,39.875,0.55,20,7.0,1.0,,41.0,100.0,1.0,1,2020-06-06,0
72.0,205.0,76.0,Orthodox,32.63518138261465,3.34,0.47,3.72,0.45,0.0,0.0,0.85,0.0,72.0,205.0,75.0,Orthodox,30.151950718685832,3.33,0.57,2.43,0.48,2.7,0.36,0.76,0.1,20.5,0.0,,45.5,,1.0,2,34.333333333333336,2.2222222222222223,,56.77777777777778,43.888888888888886,0.5555555555555556,9,2020-06-06,0
65.0,125.0,67.0,Orthodox,35.14579055441479,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6,66.0,125.0,65.0,Orthodox,28.210814510609172,4.62,0.47,3.08,0.61,2.92,0.45,0.87,1.3,15.933333333333334,1.4666666666666666,,38.666666666666664,38.0,0.6,15,35.5,1.8333333333333333,,44.166666666666664,59.166666666666664,0.8333333333333334,6,2020-06-06,0
71.0,250.0,73.0,Southpaw,33.63997262149213,3.32,0.4,4.15,0.54,1.06,0.54,0.75,0.2,75.0,265.0,77.0,Orthodox,29.059548254620122,5.32,0.48,4.02,0.5,0.15,0.5,0.66,0.0,54.0,1.25,,43.25,75.0,0.5,4,56.0,0.3333333333333333,,45.333333333333336,50.0,1.0,3,2020-05-30,0
64.0,115.0,63.0,Orthodox,27.184120465434635,3.74,0.38,3.81,0.61,0.28,0.05,0.0,2.2,61.0,115.0,62.0,Orthodox,27.926078028747433,4.99,0.44,5.39,0.52,0.26,1.0,0.64,0.3,35.0,0.3333333333333333,,35.666666666666664,8.0,0.6666666666666666,3,56.0,0.25,,46.5,100.0,0.5,4,2020-05-30,1
73.0,170.0,74.0,Southpaw,33.412731006160165,7.68,0.46,6.12,0.57,1.34,0.62,0.9,0.3,70.0,170.0,73.0,Switch,27.077344284736483,6.57,0.46,7.23,0.49,1.0,1.0,0.57,0.5,49.0,0.0,,40.0,,1.0,1,,,,,,,0,2020-05-30,1
69.0,125.0,68.0,Orthodox,31.419575633127995,4.22,0.34,4.23,0.63,0.27,0.15,0.51,0.5,68.0,125.0,67.0,Southpaw,35.52361396303901,4.09,0.56,2.51,0.54,0.65,0.6,0.56,0.7,59.888888888888886,0.0,,31.555555555555557,0.0,0.6666666666666666,9,48.666666666666664,0.6666666666666666,,57.666666666666664,100.0,0.6666666666666666,3,2020-05-30,1
69.0,170.0,74.0,Orthodox,38.14647501711157,2.33,0.48,2.72,0.55,1.08,0.4,0.87,0.4,70.0,170.0,71.0,Orthodox,33.86173853524983,3.22,0.45,3.04,0.54,2.08,0.35,0.5,0.7,34.46153846153846,0.38461538461538464,,55.30769230769231,41.666666666666664,0.6923076923076923,13,32.214285714285715,1.6428571428571428,,46.714285714285715,44.46153846153846,0.7857142857142857,14,2020-05-30,0
74.0,155.0,73.0,Orthodox,26.297056810403834,3.03,0.49,2.27,0.52,1.75,0.53,0.58,1.1,72.0,155.0,73.0,Southpaw,28.484599589322382,4.78,0.64,4.35,0.46,0.41,0.1,0.66,0.4,32.0,1.0,,42.5,58.0,0.75,4,5.0,0.0,,55.0,,1.0,1,2020-05-30,1
70.0,145.0,70.0,Orthodox,31.474332648870636,7.03,0.64,4.37,0.42,1.28,0.31,0.57,1.8,68.0,145.0,71.0,Switch,27.066392881587955,2.55,0.54,3.85,0.3,3.34,0.36,0.57,0.5,74.0,1.0,,86.0,100.0,1.0,1,20.0,0.0,,68.0,,1.0,1,2020-05-30,1
67.0,125.0,66.0,Southpaw,33.43189596167009,3.35,0.45,2.49,0.59,4.01,0.49,0.58,1.1,69.0,125.0,68.0,Southpaw,27.786447638603697,3.77,0.46,2.88,0.47,0.79,1.0,0.53,2.4,42.083333333333336,3.3333333333333335,,48.75,57.916666666666664,0.3333333333333333,12,,,,,,,0,2020-05-30,0
69.0,135.0,68.0,Orthodox,28.87337440109514,4.44,0.46,3.74,0.53,1.84,0.37,0.31,1.9,67.0,140.0,68.0,Southpaw,29.196440793976727,4.81,0.42,4.3,0.59,1.1,0.39,0.59,0.5,44.30769230769231,1.1538461538461537,,47.61538461538461,30.454545454545453,0.5384615384615384,13,40.0,1.3333333333333333,,53.666666666666664,83.0,0.6666666666666666,3,2020-05-30,0
69.0,145.0,67.0,Orthodox,29.10609171800137,4.3,0.57,2.45,0.59,0.57,0.6,0.73,0.2,67.0,145.0,70.0,Orthodox,29.54688569472964,4.22,0.39,4.16,0.53,0.0,0.0,0.55,0.0,47.666666666666664,0.3333333333333333,,54.0,25.0,0.6666666666666666,3,65.66666666666667,0.0,,36.333333333333336,,0.3333333333333333,3,2020-05-30,1
67.0,145.0,71.0,Orthodox,28.777549623545518,3.95,0.46,3.36,0.58,1.68,0.27,0.59,0.5,71.0,145.0,75.0,Orthodox,34.31622176591376,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1,40.0,1.3333333333333333,,56.0,54.0,0.8333333333333334,6,44.63636363636363,0.36363636363636365,,44.95454545454545,36.27272727272727,0.6363636363636364,22,2020-05-16,1
64.0,115.0,63.0,Orthodox,31.43874058863792,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7,63.0,115.0,64.0,Orthodox,35.34017796030116,5.66,0.5,4.98,0.64,0.45,0.36,0.76,0.1,47.0,3.3,,40.2,50.6,0.6,10,73.14285714285714,0.42857142857142855,,47.285714285714285,51.0,0.5,14,2020-05-16,1
72.0,185.0,75.0,Orthodox,26.576317590691307,4.92,0.55,5.09,0.47,3.76,0.66,0.7,1.9,75.0,185.0,81.0,Orthodox,27.526351813826146,4.14,0.56,2.58,0.56,1.08,0.45,0.51,0.7,38.0,3.0,,50.5,66.0,0.5,2,52.2,1.4,,57.8,46.6,0.6,5,2020-05-16,0
72.0,145.0,74.0,Orthodox,31.72347707049966,3.45,0.43,2.65,0.6,0.38,0.33,0.68,0.0,66.0,135.0,67.0,Southpaw,31.249828884325805,3.36,0.44,5.07,0.57,1.0,0.16,0.7,0.0,48.5,0.5,,40.0,50.0,1.0,2,,,,,,,0,2020-05-16,1
73.0,185.0,75.0,Southpaw,33.07049965776865,3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1,73.0,185.0,77.0,Southpaw,30.740588637919235,2.98,0.45,1.9,0.58,1.27,0.35,0.87,0.1,40.44444444444444,1.3333333333333333,,49.666666666666664,26.714285714285715,0.5555555555555556,9,35.666666666666664,1.1666666666666667,,45.0,41.36363636363637,0.6666666666666666,12,2020-05-16,0
72.0,170.0,75.0,Orthodox,39.34565366187543,3.69,0.54,2.67,0.55,1.56,0.44,0.63,1.4,74.0,170.0,74.0,Orthodox,27.72895277207392,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2,34.36,1.0,,55.96,52.05555555555556,0.6,25,35.0,1.0,,57.0,100.0,1.0,1,2020-05-16,0
76.0,265.0,80.0,Orthodox,39.997262149212865,3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8,77.0,250.0,77.0,Southpaw,36.93360711841205,2.95,0.38,3.43,0.54,0.3,0.28,0.72,0.1,32.05882352941177,0.35294117647058826,,70.0,26.666666666666668,0.5882352941176471,17,19.46153846153846,0.15384615384615385,,40.666666666666664,33.25,0.46153846153846156,13,2020-05-16,1
68.0,145.0,67.0,Orthodox,22.45311430527036,4.35,0.42,3.64,0.57,0.59,0.75,0.56,0.4,68.0,135.0,70.0,Switch,27.45242984257358,3.65,0.49,3.95,0.52,0.78,0.37,0.7,1.1,32.8,0.6,,35.8,100.0,0.8,5,36.38461538461539,0.5384615384615384,,48.38461538461539,53.42857142857143,0.6923076923076923,13,2020-05-16,1
67.0,125.0,67.0,Orthodox,33.0321697467488,4.33,0.38,4.19,0.52,0.28,0.27,0.38,0.6,66.0,125.0,69.0,Orthodox,33.95208761122519,2.54,0.37,2.48,0.71,1.83,0.44,0.66,0.2,61.1,0.3,,43.7,29.0,0.4,10,31.2,1.2,,40.8,51.2,0.4,5,2020-05-16,1
70.0,145.0,71.0,Orthodox,36.0,3.5,0.38,3.08,0.52,2.7,0.33,0.58,1.2,69.0,145.0,72.0,Orthodox,31.942505133470227,7.02,0.5,7.67,0.51,0.0,0.0,0.85,0.0,39.04761904761905,2.0,,33.142857142857146,36.05263157894737,0.6666666666666666,21,4.0,0.0,,44.0,,0.0,1,2020-05-16,0
74.0,246.0,80.0,Orthodox,27.468856947296374,4.23,0.55,4.32,0.42,2.7,1.0,1.0,2.7,78.0,260.0,81.0,Orthodox,28.331279945242983,4.13,0.45,4.46,0.43,0.23,0.2,0.59,0.0,,,,,,,0,32.0,0.0,,26.0,,0.0,1,2020-05-16,1
66.0,135.0,69.0,Orthodox,27.698836413415467,3.08,0.42,3.13,0.64,6.93,0.54,0.72,0.4,64.0,135.0,63.0,Orthodox,26.77344284736482,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0,35.2,3.8,,41.4,45.0,0.6,5,19.636363636363637,4.090909090909091,,54.54545454545455,56.81818181818182,0.6363636363636364,11,2020-05-13,1
76.0,265.0,78.0,Orthodox,38.57084188911704,3.55,0.41,4.57,0.46,0.63,0.33,0.69,0.3,75.0,205.0,80.0,Southpaw,37.097878165639976,2.68,0.46,3.03,0.45,1.19,0.4,0.66,0.6,36.46153846153846,0.5384615384615384,,43.30769230769231,21.25,0.5384615384615384,13,23.0,0.7,,47.8421052631579,36.714285714285715,0.6,20,2020-05-13,1
68.0,155.0,71.0,Southpaw,31.90965092402464,4.38,0.38,3.26,0.7,0.17,0.5,0.56,1.2,71.0,145.0,73.0,Orthodox,34.57084188911704,3.39,0.34,2.99,0.65,0.29,1.0,1.0,0.0,37.75,0.125,,41.25,100.0,0.625,8,32.0,1.0,,35.0,100.0,1.0,1,2020-05-13,0
76.0,205.0,76.0,Orthodox,31.797399041752225,2.94,0.46,4.38,0.42,0.49,0.28,0.51,0.7,74.0,205.0,76.0,Orthodox,40.54209445585216,3.75,0.47,3.84,0.54,2.04,0.4,0.6,1.0,34.5,0.3333333333333333,,50.416666666666664,15.142857142857142,0.6666666666666666,12,31.11111111111111,1.2222222222222223,,46.833333333333336,42.785714285714285,0.7222222222222222,18,2020-05-13,0
75.0,240.0,77.0,Orthodox,41.270362765229294,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3,74.0,240.0,78.0,Orthodox,34.7378507871321,2.66,0.4,3.68,0.49,0.0,0.0,0.0,0.0,31.612903225806452,0.2903225806451613,,45.61290322580645,30.0,0.5483870967741935,31,,,,,,,0,2020-05-13,1
70.0,155.0,73.0,Southpaw,33.94113620807666,4.21,0.38,3.82,0.58,0.49,0.45,0.77,0.1,69.0,155.0,70.0,Orthodox,25.141683778234086,2.85,0.37,3.88,0.6,1.06,0.33,0.63,1.2,49.31818181818182,0.4090909090909091,,36.22727272727273,59.81818181818182,0.5,22,36.666666666666664,1.3333333333333333,,48.333333333333336,22.0,0.3333333333333333,3,2020-05-13,0
69.0,155.0,72.0,Orthodox,27.613963039014372,3.57,0.35,3.81,0.59,1.6,0.38,0.62,0.0,68.0,155.0,70.0,Southpaw,31.564681724845997,4.33,0.4,3.87,0.54,0.8,0.17,0.55,0.1,30.25,1.0,,45.5,13.333333333333334,0.75,4,35.5,0.5,,39.857142857142854,19.285714285714285,0.5714285714285714,14,2020-05-13,0
64.0,135.0,67.0,Orthodox,35.044490075290895,4.52,0.43,3.69,0.57,1.88,0.46,0.65,0.4,67.0,135.0,67.0,Orthodox,32.035592060232716,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8,71.5,2.0,,39.5,46.25,0.5,4,24.142857142857142,0.7142857142857143,,47.142857142857146,28.833333333333332,0.42857142857142855,7,2020-05-13,1
68.0,145.0,69.0,Orthodox,28.197125256673512,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4,66.0,145.0,66.0,Switch,33.73305954825462,3.92,0.39,5.47,0.53,1.0,0.25,0.59,0.7,41.0,0.0,,34.0,0.0,1.0,1,35.42857142857143,0.7142857142857143,,47.0,37.333333333333336,0.5714285714285714,7,2020-05-13,0
76.0,250.0,78.0,Orthodox,30.48870636550308,6.02,0.45,5.55,0.52,0.0,0.0,0.77,0.0,73.0,225.0,73.0,Orthodox,36.106776180698155,3.62,0.4,6.93,0.37,0.0,0.0,0.0,0.0,63.714285714285715,0.0,,41.42857142857143,,0.2857142857142857,7,,,,,,,0,2020-05-13,1
61.0,115.0,63.0,Orthodox,32.580424366872,2.29,0.42,2.85,0.53,3.44,0.35,0.48,0.3,63.0,115.0,62.0,Orthodox,34.338124572210816,3.58,0.49,4.0,0.49,1.52,0.34,0.67,0.9,31.2,3.3,,43.5,37.7,0.6,10,49.5,1.625,,59.375,62.75,0.625,8,2020-05-09,1
70.0,155.0,72.0,Orthodox,33.281314168377826,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1,73.0,155.0,73.0,Orthodox,37.11430527036276,4.43,0.46,4.46,0.53,1.19,0.33,0.73,1.2,36.44444444444444,0.4444444444444444,,48.333333333333336,36.0,0.5,18,45.14705882352941,0.6470588235294118,,47.23529411764706,40.64,0.6764705882352942,34,2020-05-09,1
74.0,240.0,80.0,Orthodox,42.88569472963724,3.47,0.5,3.85,0.44,2.38,0.46,0.33,2.4,76.0,231.0,77.0,Orthodox,42.776180698151954,3.59,0.52,2.64,0.55,1.75,0.31,0.31,1.2,16.727272727272727,1.0909090909090908,,44.54545454545455,46.166666666666664,0.6363636363636364,11,52.0625,0.75,,53.5,24.714285714285715,0.6875,16,2020-05-09,1
69.0,145.0,71.0,Orthodox,33.95756331279945,3.18,0.4,3.06,0.58,1.16,0.38,0.65,0.4,71.0,145.0,72.0,Orthodox,32.120465434633815,5.07,0.42,8.16,0.5,0.37,0.3,0.89,0.0,36.78125,0.9375,,42.3125,41.1578947368421,0.46875,32,54.5,0.3333333333333333,,43.0,22.0,0.6666666666666666,6,2020-05-09,0
71.0,155.0,76.0,Orthodox,36.238193018480494,5.46,0.45,3.94,0.59,0.45,0.42,0.7,1.1,71.0,155.0,70.0,Orthodox,31.482546201232033,7.46,0.59,7.99,0.55,0.0,0.0,0.69,0.0,58.5,0.375,,43.5625,46.22222222222222,0.9375,16,68.0,0.0,,55.333333333333336,0.0,0.6666666666666666,6,2020-05-09,0
76.0,250.0,83.0,Orthodox,33.67556468172484,2.23,0.37,2.03,0.47,0.0,0.0,0.71,0.5,76.0,242.0,78.0,Orthodox,32.145106091718,3.14,0.48,3.48,0.39,0.0,0.0,0.8,0.0,13.090909090909092,0.0,,51.27272727272727,0.0,0.8181818181818182,11,29.25,0.0,,66.75,,1.0,4,2020-05-09,1
64.0,135.0,64.0,Orthodox,33.24572210814511,3.92,0.45,2.77,0.65,2.12,0.33,0.93,0.2,68.0,135.0,68.0,Orthodox,35.167693360711844,3.65,0.32,2.42,0.72,2.99,0.46,0.83,0.1,48.18181818181818,1.8181818181818181,,47.09090909090909,48.3,0.8181818181818182,11,77.16666666666667,3.8333333333333335,,43.5,43.333333333333336,0.8333333333333334,6,2020-05-09,1
71.0,170.0,75.0,Orthodox,28.449007529089666,5.72,0.53,5.82,0.52,0.68,0.5,0.64,0.8,72.0,170.0,76.0,Orthodox,30.60917180013689,5.33,0.41,5.83,0.49,0.89,0.22,0.72,0.9,43.61538461538461,0.46153846153846156,,51.76923076923077,54.0,0.7692307692307693,13,17.1,0.4,,39.3,14.375,0.6,10,2020-05-09,1
77.0,265.0,80.0,Orthodox,31.78097193702943,4.83,0.5,3.12,0.56,0.21,0.33,0.8,0.0,72.0,250.0,74.0,Orthodox,33.38809034907597,2.61,0.44,3.9,0.55,0.0,0.0,0.75,0.0,35.8,0.0,,54.0,0.0,0.4,5,4.0,0.0,,33.0,,1.0,1,2020-05-09,1
77.0,205.0,79.0,Orthodox,28.709103353867214,3.55,0.45,3.45,0.47,1.72,0.41,0.6,1.7,74.0,205.0,75.0,Southpaw,34.00958247775496,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,25.333333333333332,0.3333333333333333,,40.666666666666664,25.0,1.0,3,28.77777777777778,0.05555555555555555,,46.388888888888886,20.0,0.5555555555555556,18,2020-05-09,1
70.0,145.0,70.0,Southpaw,25.596167008898014,2.29,0.61,1.46,0.6,3.26,0.46,0.33,2.3,69.0,145.0,69.0,Switch,33.70841889117043,3.11,0.37,3.78,0.48,1.76,0.32,0.4,1.0,20.333333333333332,1.3333333333333333,,59.333333333333336,43.333333333333336,1.0,3,47.0,2.3333333333333335,,42.5,34.6,0.5,6,2020-05-09,1
63.0,125.0,66.0,Orthodox,26.548939082819988,4.25,0.44,1.78,0.71,2.31,0.58,0.85,1.6,64.0,115.0,63.0,Orthodox,34.5927446954141,2.85,0.41,3.2,0.59,1.23,0.28,0.57,0.2,47.5,2.0,,43.0,70.0,1.0,2,40.23076923076923,1.2307692307692308,,40.76923076923077,40.0,0.46153846153846156,13,2020-03-14,1
65.0,125.0,67.0,Orthodox,34.91581108829569,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6,67.0,125.0,70.0,Orthodox,26.26694045174538,3.41,0.38,3.41,0.59,2.01,0.45,0.67,0.6,16.0,1.5,,38.142857142857146,40.07692307692308,0.6428571428571429,14,43.0,1.8571428571428572,,39.142857142857146,63.2,0.5714285714285714,7,2020-03-14,0
71.0,155.0,72.0,Orthodox,30.8145106091718,5.4,0.46,3.74,0.65,1.28,0.53,0.78,0.6,69.0,155.0,70.0,Orthodox,33.59890485968515,2.99,0.46,2.99,0.66,0.68,0.6,0.39,0.2,53.5,0.75,,39.625,60.0,0.625,8,33.0,0.5,,48.0,55.333333333333336,0.5,6,2020-03-14,1
71.0,170.0,73.0,Orthodox,33.256673511293634,4.05,0.39,3.07,0.59,0.57,0.17,0.52,0.5,68.0,170.0,70.0,Orthodox,35.865845311430526,3.67,0.44,2.83,0.63,0.25,0.33,0.8,0.0,46.666666666666664,0.3333333333333333,,41.55555555555556,26.75,0.7777777777777778,9,54.333333333333336,0.3333333333333333,,43.0,25.0,0.6666666666666666,3,2020-03-14,1
78.0,205.0,82.0,Orthodox,27.956194387405887,4.41,0.72,3.51,0.31,0.4,1.0,0.6,1.2,75.0,205.0,77.0,Orthodox,28.019164955509925,4.33,0.56,2.52,0.43,1.34,0.33,0.55,1.3,5.5,0.0,,65.0,,0.75,4,28.75,0.4166666666666667,,55.833333333333336,35.714285714285715,0.5833333333333334,12,2020-03-14,0
73.0,170.0,72.0,Southpaw,42.351813826146476,1.82,0.43,2.03,0.63,2.55,0.26,0.61,1.0,70.0,170.0,71.0,Orthodox,33.65092402464066,3.22,0.45,3.04,0.54,2.08,0.35,0.5,0.7,23.032258064516128,2.096774193548387,,50.32258064516129,37.793103448275865,0.7096774193548387,31,33.69230769230769,1.7692307692307692,,44.07692307692308,44.46153846153846,0.7692307692307693,13,2020-03-14,0
69.0,170.0,77.0,Orthodox,27.523613963039015,3.9,0.42,3.23,0.51,3.21,0.43,0.75,0.8,70.0,155.0,74.0,Orthodox,30.406570841889117,3.22,0.52,2.94,0.54,2.64,0.44,0.57,2.8,46.4375,2.5625,,43.8125,48.142857142857146,0.6875,16,20.84,1.2,,49.56,52.333333333333336,0.64,25,2020-03-14,0
69.0,155.0,70.0,Southpaw,41.555099247091036,3.11,0.44,2.56,0.6,1.09,0.46,0.61,0.6,68.0,155.0,68.0,Orthodox,34.86379192334018,5.36,0.51,3.76,0.7,0.0,0.0,0.88,0.0,36.45,0.85,,47.15,46.857142857142854,0.7,20,62.0625,0.0,,52.266666666666666,0.0,0.625,16,2020-03-14,1
66.0,135.0,66.0,Orthodox,28.56125941136208,4.06,0.57,4.89,0.47,0.0,0.0,0.73,1.6,67.0,125.0,67.0,Orthodox,28.514715947980836,4.09,0.31,4.15,0.53,0.56,0.18,0.47,0.4,11.0,0.0,,34.0,,1.0,1,42.42857142857143,0.2857142857142857,,29.142857142857142,14.666666666666666,0.5714285714285714,7,2020-03-14,0
72.0,185.0,,,30.6694045174538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,125.0,68.0,Orthodox,27.772758384668034,4.5,0.48,3.17,0.63,0.0,0.0,0.75,0.0,20.0,2.0,,40.0,18.0,0.0,1,,,,,,,0,2020-03-14,0
64.0,125.0,64.0,Southpaw,24.372347707049965,3.13,0.39,5.06,0.43,0.57,0.18,0.46,0.6,69.0,135.0,74.0,Orthodox,28.55852156057495,6.78,0.46,6.14,0.62,0.0,0.0,0.78,1.4,17.75,0.5,,61.0,100.0,0.25,4,19.0,0.0,,26.0,,1.0,1,2020-03-14,0
70.0,155.0,72.0,Southpaw,30.836413415468858,4.0,0.49,2.72,0.59,2.03,0.32,0.81,1.0,69.0,155.0,70.0,Orthodox,31.994524298425734,3.89,0.53,3.64,0.53,1.56,0.3,0.68,0.0,35.5,1.0625,,50.0625,37.0,0.6875,16,59.666666666666664,1.6666666666666667,,51.666666666666664,37.166666666666664,0.8333333333333334,6,2020-03-07,1
75.0,170.0,80.0,Orthodox,32.59411362080767,3.67,0.47,2.05,0.56,2.46,0.45,0.57,0.3,72.0,170.0,71.0,Orthodox,31.964407939767284,4.52,0.42,3.65,0.59,1.28,0.39,0.59,0.0,45.35,2.05,,42.7,48.88235294117647,0.7,20,54.333333333333336,0.9166666666666666,,42.833333333333336,44.666666666666664,0.75,12,2020-03-07,1
71.0,135.0,72.0,Switch,25.36892539356605,6.35,0.57,3.76,0.64,1.05,0.5,0.61,1.1,68.0,135.0,69.0,Southpaw,29.609856262833677,3.6,0.45,3.0,0.64,2.7,0.47,0.42,0.6,102.0,1.5,,55.5,50.0,1.0,2,42.57142857142857,2.142857142857143,,50.142857142857146,44.857142857142854,0.7142857142857143,7,2020-03-07,1
76.0,185.0,80.0,Switch,30.625598904859686,3.95,0.49,2.63,0.61,0.0,0.0,0.82,0.3,72.0,185.0,73.0,Southpaw,42.85284052019165,3.44,0.49,3.05,0.6,1.57,0.3,0.78,0.0,65.0,0.0,,51.714285714285715,0.0,1.0,7,52.25,1.75,,55.0,29.636363636363637,0.75,12,2020-03-07,1
64.0,115.0,63.0,Switch,30.56536618754278,6.38,0.45,4.43,0.53,1.26,0.23,1.0,0.5,66.0,115.0,65.0,Orthodox,32.55304585900068,6.3,0.48,3.08,0.64,0.28,0.62,0.81,0.1,53.5,1.0,,59.0,36.0,1.0,4,117.3076923076923,0.38461538461538464,,43.0,70.0,0.7692307692307693,13,2020-03-07,1
72.0,185.0,73.0,Orthodox,30.4476386036961,1.66,0.42,3.06,0.42,7.0,0.47,0.0,1.6,73.0,185.0,78.0,Orthodox,33.39630390143737,4.03,0.48,2.96,0.47,2.52,0.41,0.33,0.0,18.0,3.0,,46.0,42.0,1.0,1,38.333333333333336,1.6666666666666667,,48.333333333333336,33.333333333333336,0.3333333333333333,3,2020-03-07,1
68.0,155.0,72.0,Orthodox,35.45242984257358,2.28,0.42,2.53,0.46,8.33,0.64,0.0,0.0,70.0,155.0,71.0,Orthodox,28.20807665982204,3.45,0.48,2.58,0.58,0.76,0.6,0.53,0.0,22.0,1.0,,75.0,50.0,1.0,1,47.5,1.5,,41.0,60.0,0.5,2,2020-03-07,1
72.0,145.0,74.0,Orthodox,31.531827515400412,3.45,0.43,2.65,0.6,0.38,0.33,0.68,0.0,70.0,145.0,74.0,Orthodox,30.62012320328542,5.75,0.52,4.65,0.54,2.9,0.53,1.0,0.0,59.0,1.0,,49.0,50.0,1.0,1,,,,,,,0,2020-03-07,1
67.0,135.0,70.0,Orthodox,30.67488021902806,5.66,0.38,2.61,0.58,0.0,0.0,0.57,0.0,66.0,135.0,68.0,Southpaw,40.21629021218344,2.85,0.51,2.17,0.5,2.64,0.5,0.75,0.3,85.0,0.0,,36.0,0.0,0.0,1,27.0,1.8,,52.2,48.0,0.4,5,2020-03-07,1
