R_Height,R_Weight,R_Reach,R_Stance,R_age,R_SLpM,R_Str_Acc,R_SApM,R_Str_Def,R_TD_Avg,R_TD_Acc,R_TD_Def,R_Sub_Avg,B_Height,B_Weight,B_Reach,B_Stance,B_age,B_SLpM,B_Str_Acc,B_SApM,B_Str_Def,B_TD_Avg,B_TD_Acc,B_TD_Def,B_Sub_Avg,R_hist_sig_str_avg,R_hist_td_avg,R_hist_ctrl_avg,R_hist_sig_str_pct_avg,R_hist_td_pct_avg,R_hist_won_avg,R_hist_fights_before,B_hist_sig_str_avg,B_hist_td_avg,B_hist_ctrl_avg,B_hist_sig_str_pct_avg,B_hist_td_pct_avg,B_hist_won_avg,B_hist_fights_before,date,target
70.0,155.0,72.0,Southpaw,25.557837097878167,5.81,0.47,3.23,0.74,0.18,0.16,0.84,0.0,67.0,155.0,70.0,Orthodox,26.60369609856263,3.47,0.23,6.6,0.54,0.0,0.0,1.0,0.0,62.666666666666664,0.16666666666666666,,49.333333333333336,33.333333333333336,0.6666666666666666,6,,,,,,,0,2021-03-13,1
67.0,125.0,67.0,Orthodox,33.856262833675565,4.33,0.38,4.19,0.52,0.28,0.27,0.38,0.6,65.0,125.0,67.0,Southpaw,28.451745379876797,3.76,0.41,4.55,0.61,0.8,0.4,0.57,0.0,53.25,0.25,,43.916666666666664,29.0,0.4166666666666667,12,54.285714285714285,0.2857142857142857,,39.57142857142857,23.333333333333332,0.5714285714285714,7,2021-03-13,0
73.0,170.0,75.0,Switch,28.301163586584533,7.93,0.5,5.31,0.56,1.97,1.0,1.0,1.0,70.0,170.0,70.0,Orthodox,34.34633812457221,3.16,0.65,2.68,0.29,3.65,0.5,0.0,1.8,118.0,2.0,,50.0,100.0,1.0,1,11.0,1.0,,52.0,33.0,0.5,2,2021-03-13,1
66.0,135.0,67.0,Orthodox,36.498288843258045,1.57,0.37,1.7,0.5,2.89,0.33,0.24,2.0,67.0,135.0,70.0,Orthodox,33.256673511293634,0.9,0.27,3.89,0.4,1.42,0.5,0.44,0.0,20.235294117647058,2.1176470588235294,,46.05882352941177,33.88235294117647,0.6470588235294118,17,1.0,1.0,,20.0,100.0,0.0,1,2021-03-13,1
65.0,115.0,67.0,Orthodox,25.75770020533881,3.33,0.54,1.2,0.7,0.0,0.0,0.71,1.0,63.0,115.0,65.0,Southpaw,35.813826146475016,1.79,0.4,3.35,0.44,1.06,0.42,0.83,0.7,,,,,,,0,26.0,0.5,,49.0,25.0,0.0,2,2021-03-13,0
68.0,135.0,68.0,Orthodox,35.9917864476386,3.65,0.32,2.42,0.72,2.99,0.46,0.83,0.1,67.0,140.0,68.0,Southpaw,29.963039014373717,4.81,0.42,4.3,0.59,1.1,0.39,0.59,0.5,70.85714285714286,3.2857142857142856,,43.0,37.142857142857146,0.7142857142857143,7,64.0,1.0,,52.0,49.75,0.8333333333333334,6,2021-03-06,1
68.0,145.0,67.0,Orthodox,23.2580424366872,4.35,0.42,3.64,0.57,0.59,0.75,0.56,0.4,68.0,135.0,72.0,Orthodox,25.73305954825462,5.32,0.46,3.04,0.61,2.88,0.63,0.71,0.4,44.166666666666664,0.5,,38.166666666666664,66.66666666666667,0.8333333333333334,6,60.5,2.0,,46.5,75.0,1.0,2,2021-03-06,0
67.0,135.0,67.0,Switch,28.06297056810404,5.99,0.52,3.55,0.62,2.14,0.66,0.9,0.1,67.0,135.0,71.0,Orthodox,31.59753593429158,4.84,0.49,2.2,0.63,1.77,0.24,0.41,0.9,83.57142857142857,1.2857142857142858,,51.57142857142857,49.666666666666664,1.0,7,57.357142857142854,1.5,,50.214285714285715,38.53846153846154,0.7857142857142857,14,2021-03-06,0
74.0,205.0,78.0,Orthodox,38.02874743326489,3.59,0.49,2.79,0.53,1.18,0.53,0.65,0.2,76.0,185.0,80.0,Switch,31.62217659137577,3.95,0.49,2.63,0.61,0.0,0.0,0.82,0.3,41.4,0.8666666666666667,,50.333333333333336,54.6,0.6666666666666666,15,62.0,0.0,,51.44444444444444,0.0,1.0,9,2021-03-06,1
74.0,205.0,76.0,Orthodox,37.16084873374401,4.27,0.48,2.33,0.55,0.7,0.38,0.66,0.1,76.0,205.0,78.0,Orthodox,29.078713210130047,4.23,0.52,2.23,0.52,0.75,0.25,0.9,0.2,34.1,0.4,,46.35,41.666666666666664,0.65,20,50.333333333333336,0.6666666666666666,,54.333333333333336,28.666666666666668,0.8333333333333334,6,2021-03-06,0
64.0,125.0,65.0,Southpaw,36.596851471594796,3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6,66.0,125.0,67.0,Orthodox,28.40520191649555,3.37,0.55,2.65,0.56,2.75,0.28,0.64,0.0,44.6,1.2,,38.5,31.0,0.75,20,48.0,2.0,,53.333333333333336,16.333333333333332,0.6666666666666666,3,2021-03-06,0
68.0,145.0,69.0,Orthodox,32.766598220396986,4.5,0.51,2.45,0.57,2.5,0.53,0.84,0.9,72.0,145.0,72.0,Orthodox,31.06365503080082,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,45.5,1.7857142857142858,,55.285714285714285,48.77777777777778,0.9285714285714286,14,9.8,0.2,,46.4,25.0,0.6,5,2021-03-06,1
70.0,155.0,70.0,Southpaw,29.357973990417523,2.0,0.56,0.77,0.7,3.46,0.68,0.93,1.0,68.0,155.0,70.0,Southpaw,32.37782340862423,4.33,0.4,3.87,0.54,0.8,0.17,0.55,0.1,19.75,2.125,,53.75,67.33333333333333,0.875,8,37.2,0.4666666666666667,,40.0,19.285714285714285,0.6,15,2021-03-06,1
67.0,125.0,66.0,Southpaw,34.19849418206708,3.35,0.45,2.49,0.59,4.01,0.49,0.58,1.1,66.0,125.0,69.0,Orthodox,31.32375085557837,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2,42.07142857142857,3.2142857142857144,,48.357142857142854,53.0,0.35714285714285715,14,46.0,0.6,,48.0,24.75,0.4,5,2021-03-06,1
63.0,115.0,63.0,Orthodox,29.987679671457904,2.06,0.45,3.38,0.62,2.4,0.44,0.4,1.2,64.0,115.0,65.0,Southpaw,33.790554414784395,6.21,0.64,5.39,0.45,1.98,1.0,1.0,0.5,25.5,2.0,,47.25,57.75,0.75,4,53.0,1.3333333333333333,,64.66666666666667,100.0,0.6666666666666666,3,2021-03-06,0
65.0,125.0,67.0,Orthodox,28.862422997946613,2.19,0.5,3.12,0.38,1.9,0.4,0.51,1.6,64.0,125.0,69.0,Orthodox,27.94524298425736,5.02,0.39,3.84,0.66,0.53,0.23,0.86,0.0,19.0,1.0,,49.666666666666664,24.333333333333332,0.6666666666666666,3,69.5,0.5,,41.833333333333336,32.0,0.6666666666666666,6,2021-03-06,0
